user_id,movie_id,timestamp,duration_watched,viewer_type_Column
User00058,Nannaku Prematho,2025-04-18,4559,Moderate Viewer
User00674,Tenet,2025-04-18,2523,Moderate Viewer
User02130,Orange,2025-04-18,2807,Moderate Viewer
User03188,Businessman,2025-04-18,1291,Light Viewer
User02031,Thimmarusu,2025-04-18,6539,Heavy Viewer
User01413,The Lion King,2025-04-18,2167,Moderate Viewer
User01303,Star Wars: The Force Awakens,2025-04-18,1085,Light Viewer
User02995,Thani Oruvan,2025-04-18,1589,Light Viewer
User02981,Thani Oruvan,2025-04-18,34,Light Viewer
User00132,Hello,2025-04-18,2573,Moderate Viewer
User04636,Gabbar Singh,2025-04-18,4236,Moderate Viewer
User04938,Oopiri,2025-04-18,1084,Light Viewer
User00448,Oopiri,2025-04-18,5553,Heavy Viewer
User03123,Brahmotsavam,2025-04-18,3416,Moderate Viewer
User04072,Finding Nemo,2025-04-18,1332,Light Viewer
User04033,The Flash,2025-04-18,6207,Heavy Viewer
User03978,Gladiator,2025-04-18,4161,Moderate Viewer
User01803,Fidaa,2025-04-18,2206,Moderate Viewer
User00893,Spider-Man: No Way Home,2025-04-18,6549,Heavy Viewer
User02223,Avatar,2025-04-18,2421,Moderate Viewer
User02303,Avengers: Endgame,2025-04-18,5366,Moderate Viewer
User00986,Drushyam,2025-04-18,5934,Heavy Viewer
User04498,Django Unchained,2025-04-18,133,Light Viewer
User02478,Arjun Reddy,2025-04-18,302,Light Viewer
User03803,Thani Oruvan,2025-04-18,6746,Heavy Viewer
User00233,The Lion King,2025-04-18,7013,Heavy Viewer
User01426,The Lion King,2025-04-18,284,Light Viewer
User00308,Hello,2025-04-18,451,Light Viewer
User04153,Bharat Ane Nenu,2025-04-18,378,Light Viewer
User03365,Geetha Govindam,2025-04-18,4920,Moderate Viewer
User04502,The Conjuring,2025-04-18,149,Light Viewer
User03263,Gabbar Singh,2025-04-18,3234,Moderate Viewer
User01054,Deadpool,2025-04-18,5802,Heavy Viewer
User04319,The Shawshank Redemption,2025-04-18,4043,Moderate Viewer
User00410,Gladiator,2025-04-18,6562,Heavy Viewer
User01305,Hello,2025-04-18,5056,Moderate Viewer
User00754,Black Panther,2025-04-18,4931,Moderate Viewer
User04071,Logan,2025-04-18,5806,Heavy Viewer
User02157,Khaleja,2025-04-18,3870,Moderate Viewer
User03505,Logan,2025-04-18,3039,Moderate Viewer
User01147,Finding Nemo,2025-04-18,4551,Moderate Viewer
User00763,The Shawshank Redemption,2025-04-18,4761,Moderate Viewer
User02896,Athadu,2025-04-18,3889,Moderate Viewer
User03493,Oopiri,2025-04-18,1994,Moderate Viewer
User01656,Avengers: Endgame,2025-04-18,5052,Moderate Viewer
User02540,The Prestige,2025-04-18,161,Light Viewer
User01836,Forrest Gump,2025-04-18,3334,Moderate Viewer
User03451,Guardians of the Galaxy,2025-04-18,132,Light Viewer
User02356,Orange,2025-04-18,3626,Moderate Viewer
User01424,Orange,2025-04-18,3030,Moderate Viewer
User02612,Doctor Strange in the Multiverse of Madness,2025-04-18,4198,Moderate Viewer
User04219,The Jungle Book,2025-04-18,1813,Moderate Viewer
User00015,The Dark Knight,2025-04-18,4835,Moderate Viewer
User00470,Frozen,2025-04-18,4895,Moderate Viewer
User00158,The Curious Case of Benjamin Button,2025-04-18,5294,Moderate Viewer
User04473,Pokiri,2025-04-18,3604,Moderate Viewer
User01119,Black Widow,2025-04-18,372,Light Viewer
User04681,The Matrix,2025-04-18,5598,Heavy Viewer
User02359,Karthikeya,2025-04-18,5699,Heavy Viewer
User01552,Orange,2025-04-18,2968,Moderate Viewer
User00230,Janatha Garage,2025-04-18,524,Light Viewer
User02023,The Lion King,2025-04-18,287,Light Viewer
User02598,The Jungle Book,2025-04-18,2956,Moderate Viewer
User00389,The Flash,2025-04-18,6477,Heavy Viewer
User04280,The Revenant,2025-04-18,2772,Moderate Viewer
User02185,Iron Man,2025-04-18,1514,Light Viewer
User00876,Finding Nemo,2025-04-18,6095,Heavy Viewer
User01409,Orange,2025-04-18,1924,Moderate Viewer
User04634,Toy Story,2025-04-18,893,Light Viewer
User00572,Deadpool,2025-04-18,7109,Heavy Viewer
User04701,The Irishman,2025-04-18,2132,Moderate Viewer
User01444,Django Unchained,2025-04-18,164,Light Viewer
User02610,The Hunger Games,2025-04-18,529,Light Viewer
User01779,Khaidi No. 150,2025-04-18,2640,Moderate Viewer
User00431,The Prestige,2025-04-18,540,Light Viewer
User00792,Athadu,2025-04-18,6755,Heavy Viewer
User04897,Fight Club,2025-04-18,6511,Heavy Viewer
User00436,Iron Man,2025-04-18,3985,Moderate Viewer
User00049,Sarrainodu,2025-04-18,3120,Moderate Viewer
User03235,Nannaku Prematho,2025-04-18,73,Light Viewer
User02140,Manam,2025-04-18,1351,Light Viewer
User00480,Arjun Reddy,2025-04-18,6237,Heavy Viewer
User01886,Captain America: Civil War,2025-04-18,3734,Moderate Viewer
User00227,Srimanthudu,2025-04-18,1550,Light Viewer
User02947,Businessman,2025-04-18,5168,Moderate Viewer
User01374,Geetha Govindam,2025-04-18,421,Light Viewer
User00682,Guardians of the Galaxy,2025-04-18,1644,Light Viewer
User03074,Black Widow,2025-04-18,941,Light Viewer
User01894,Black Panther,2025-04-18,3939,Moderate Viewer
User02726,DJ - Duvvada Jagannadham,2025-04-18,5521,Heavy Viewer
User02511,The Batman,2025-04-18,6643,Heavy Viewer
User00614,The Conjuring,2025-04-18,4984,Moderate Viewer
User04229,Eega,2025-04-18,3443,Moderate Viewer
User01431,Fidaa,2025-04-18,3586,Moderate Viewer
User00299,The Wolf of Wall Street,2025-04-18,946,Light Viewer
